ts,src_ip,dst_ip,pck_len,user,num_attack,ip_diff,range_ip,ip_medium,ip_std,pck_medium,pck_std
1615346178.9425619,1256,5291,60,131,1,1,0,5291.0,0.0,60.0,0.0
1615346179.148485,388,5151,60,132,1,1,0,5151.0,0.0,60.0,0.0
1615346179.521655,906,5151,60,133,1,1,0,5151.0,0.0,60.0,0.0
1615346322.484749,845,5297,62,134,3,3,95,5247.333333333333,38.90444133457716,62.0,0.0
1615346356.62636,845,5243,62,134,3,3,95,5247.333333333333,38.90444133457716,62.0,0.0
1615346360.322724,845,5202,62,134,3,3,95,5247.333333333333,38.90444133457716,62.0,0.0
1615346409.668796,211,5151,60,135,1,1,0,5151.0,0.0,60.0,0.0
1615346432.787001,384,5151,98,136,1,1,0,5151.0,0.0,98.0,0.0
1615346442.996743,1256,5162,60,137,1,1,0,5162.0,0.0,60.0,0.0
1615346443.983333,383,5151,98,138,1,1,0,5151.0,0.0,98.0,0.0
1615346447.267281,1892,5151,98,139,1,1,0,5151.0,0.0,98.0,0.0
1615346469.683186,381,5151,98,140,1,1,0,5151.0,0.0,98.0,0.0
1615346472.963029,388,5151,60,141,1,1,0,5151.0,0.0,60.0,0.0
1615346524.267815,4926,5217,60,142,1,1,0,5217.0,0.0,60.0,0.0
1615346529.949404,845,5269,62,143,2,2,8,5273.0,4.0,62.0,0.0
1615346568.198092,845,5277,62,143,2,2,8,5273.0,4.0,62.0,0.0
1615346618.405302,2637,5148,60,144,1,1,0,5148.0,0.0,60.0,0.0
1615346638.666642,1256,5202,60,145,2,2,63,5233.5,31.5,60.0,0.0
1615346639.088494,1256,5265,60,145,2,2,63,5233.5,31.5,60.0,0.0
1615346709.916709,213,5151,60,146,1,1,0,5151.0,0.0,60.0,0.0
1615346731.892993,160,5151,98,147,1,1,0,5151.0,0.0,98.0,0.0
1615346744.760572,888,5151,98,148,1,1,0,5151.0,0.0,98.0,0.0
1615346745.139559,155,5151,98,149,1,1,0,5151.0,0.0,98.0,0.0
1615346762.016392,4926,5220,60,150,1,1,0,5220.0,0.0,60.0,0.0
1615346768.152574,162,5151,98,151,1,1,0,5151.0,0.0,98.0,0.0
1615346772.257454,906,5151,60,152,2,1,0,5151.0,0.0,60.0,0.0
1615346772.3073359,906,5151,60,152,2,1,0,5151.0,0.0,60.0,0.0
1615346781.994226,276,5246,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.07763,276,5283,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.083064,276,5126,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.176038,276,5138,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.241612,276,5122,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.46006,276,5171,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.7493384,276,5348,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.948689,276,5196,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.955345,276,5163,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.0005212,276,5185,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.242569,276,5344,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.277503,276,5222,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.556868,276,5152,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.6371071,276,5316,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.6941779,276,5226,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.778498,276,5239,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346784.047394,276,5155,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346784.152538,276,5197,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346784.22385,276,5137,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346784.552312,276,5180,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346784.748608,276,5235,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346784.943318,276,5182,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346785.126455,276,5167,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346785.2933679,276,5310,60,153,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
