ts,src_ip,dst_ip,pck_len,user,num_attack,ip_diff,range_ip,ip_medium,ip_std,pck_medium,pck_std
1615346785.987552,276,5158,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346786.1474214,276,5243,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346786.197508,276,5224,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346786.285415,276,5170,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346786.441024,276,5297,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346786.475116,276,5168,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346786.5699198,276,5105,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346786.639926,276,5311,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346786.808136,276,5250,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346787.0471141,276,5342,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346787.375782,276,5227,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346787.458622,276,5103,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346787.844281,276,5161,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346787.866369,276,5216,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346788.179287,276,5274,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346788.298408,276,5120,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346788.444658,276,5315,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346788.451499,276,5244,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346788.562501,276,5241,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346788.7426732,276,5323,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346789.036608,276,5151,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346789.097275,276,5145,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346789.15722,276,5107,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346789.36969,276,5194,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346790.110449,276,5234,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346790.315522,276,5148,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346790.855602,276,5255,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346790.935852,276,5329,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346790.9784849,276,5272,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346791.4780061,276,5263,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346791.500296,276,5349,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346791.564485,276,5156,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346791.679213,276,5223,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346791.705481,276,5345,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346791.822552,276,5147,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346791.8428311,276,5154,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346792.101855,276,5135,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346792.1277368,276,5279,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346792.128284,276,5144,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346792.613301,276,5119,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346792.877585,276,5177,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346793.015887,276,5115,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346793.548045,276,5251,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346793.83251,276,5321,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346794.142205,276,5221,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346794.479744,276,5210,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346794.7715778,276,5215,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346794.951511,276,5318,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346795.24666,276,5341,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346795.339971,276,5193,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346795.667531,276,5257,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346795.7526028,276,5314,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346796.217621,276,5304,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346796.540296,276,5333,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346798.146741,276,5217,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346798.635098,276,5338,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346798.667871,276,5309,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346799.395454,276,5225,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346799.3987026,276,5149,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346799.581325,276,5270,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346799.607441,276,5312,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346799.670438,276,5149,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346799.6803286,276,5225,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346799.738498,276,5121,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346799.923184,276,5149,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346799.9424038,276,5225,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.176995,276,5149,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.2187119,276,5225,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.444714,276,5249,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.445729,276,5347,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.452621,276,5149,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.4698,276,5289,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.4731786,276,5225,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.492216,276,5173,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.497384,276,5172,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.6260061,276,5108,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.725152,276,5149,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.727747,276,5347,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.732843,276,5225,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.749741,276,5289,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.7611651,276,5173,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.793821,276,5330,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.816931,276,5328,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.975468,276,5149,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.983592,276,5347,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.9956071,276,5225,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.999986,276,5289,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346801.0144901,276,5173,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346801.123058,276,5339,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346801.239131,276,5149,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346801.240365,276,5347,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346801.246094,276,5225,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346801.267653,276,5289,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346801.271408,276,5173,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346801.429894,276,5146,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346801.49676,276,5225,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346801.501376,276,5149,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346801.501924,276,5347,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346801.520508,276,5289,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346801.5216286,276,5173,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346801.695359,276,5199,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346801.744693,276,5228,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346801.7476141,276,5225,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
