ts,src_ip,src_port,dst_ip,dst_port,proto,pck_len,tcp_flags,mirai
1615343356.046658,711,63542,5150,445,6,66,2,0
1615343356.125721,3102,39006,5229,8001,6,60,2,0
1615343356.205762,614,51573,5283,55789,6,60,2,0
1615343356.487924,2489,58212,5230,22220,6,60,2,0
1615343356.642262,1399,61615,5280,885,6,60,2,0
1615343356.692374,3532,59975,5273,5985,6,60,2,0
1615343356.873613,711,60559,5259,445,6,66,2,0
1615343356.983233,4028,43512,5099,5555,6,74,2,0
1615343357.001477,4028,39008,5098,5555,6,74,2,0
1615343357.042410,975,43893,5160,23,6,60,2,1
1615343357.201571,4028,39150,5102,5555,6,74,2,0
1615343357.207954,4028,35792,5105,5555,6,74,2,0
1615343357.208979,4028,37334,5104,5555,6,74,2,0
1615343357.222159,4028,37562,5100,5555,6,74,2,0
1615343357.225883,4028,43236,5101,5555,6,74,2,0
1615343357.230962,4028,57512,5103,5555,6,74,2,0
1615343357.234451,4028,41432,5117,5555,6,74,2,0
1615343357.236402,4028,42524,5106,5555,6,74,2,0
1615343357.238493,4028,33886,5113,5555,6,74,2,0
1615343357.242538,4028,44220,5109,5555,6,74,2,0
1615343357.243491,4028,49892,5107,5555,6,74,2,0
1615343357.247678,4028,58040,5110,5555,6,74,2,0
1615343357.247788,4028,40600,5108,5555,6,74,2,0
1615343357.251038,4028,39984,5111,5555,6,74,2,0
1615343357.256268,4028,34588,5115,5555,6,74,2,0
1615343357.257003,4028,48644,5116,5555,6,74,2,0
1615343357.258983,4028,53744,5112,5555,6,74,2,0
1615343357.258990,4028,35136,5114,5555,6,74,2,0
1615343357.260068,886,40138,5159,80,6,74,2,0
1615343357.260873,4028,40592,5120,5555,6,74,2,0
1615343357.261157,4028,37490,5118,5555,6,74,2,0
1615343357.265721,4028,34468,5122,5555,6,74,2,0
1615343357.274680,4028,45034,5121,5555,6,74,2,0
1615343357.276766,4028,52518,5119,5555,6,74,2,0
1615343357.288889,426,47394,5130,508,6,60,2,0
1615343357.289131,4028,34784,5123,5555,6,74,2,0
1615343357.294135,4028,38712,5124,5555,6,74,2,0
1615343357.429475,426,47394,5292,1072,6,60,2,0
1615343357.431623,1540,60000,5292,1198,6,60,2,0
