ts,src_ip,src_port,dst_ip,dst_port,pck_len,tcp_flags
1615345515.373836,2408,49883.0,5150,445.0,66,2.0
1615345515.451005,1386,7673.0,5108,9171.0,60,2.0
1615345515.6236901,705,45074.0,5342,5559.0,60,2.0
1615345515.9370651,642,45199.0,5213,7381.0,60,2.0
1615345515.975274,2830,51641.0,5132,23.0,60,2.0
1615345515.997024,249,24778.0,5191,23.0,60,2.0
1615345516.0304,3556,60060.0,5171,35110.0,60,2.0
1615345516.099624,274,58619.0,5191,1433.0,66,2.0
1615345516.171205,3370,48726.0,5309,60804.0,60,2.0
1615345516.199489,3777,52866.0,5270,631.0,60,2.0
1615345516.4215631,3314,11794.0,5333,58603.0,60,2.0
1615345516.438782,1742,53311.0,5337,5587.0,60,2.0
1615345516.454801,3483,23930.0,5203,8801.0,60,2.0
1615345516.606216,614,51573.0,5135,27467.0,60,2.0
1615345516.661983,3449,59510.0,5332,82.0,60,2.0
1615345516.713406,705,45074.0,5219,5559.0,60,2.0
1615345517.195627,3348,29521.0,5297,12269.0,60,2.0
1615345517.4331028,3340,18553.0,5313,3012.0,60,2.0
1615345517.592316,3568,50828.0,5328,22915.0,60,2.0
1615345517.711449,2614,44207.0,5235,445.0,60,2.0
1615345517.787479,3922,58763.0,5256,445.0,66,2.0
1615345517.959908,614,51573.0,5318,45676.0,60,2.0
1615345517.969599,489,57984.0,5157,1433.0,60,2.0
1615345517.9867618,632,54903.0,5139,1717.0,60,2.0
1615345517.9983392,274,61200.0,5106,1433.0,66,2.0
1615345518.105294,1372,7210.0,5108,52200.0,60,2.0
1615345518.160433,2410,38563.0,5153,445.0,66,2.0
1615345518.215857,2408,49883.0,5150,445.0,66,2.0
1615345518.220474,1117,52358.0,5242,8080.0,74,2.0
1615345518.2566311,4123,48801.0,5298,17990.0,60,2.0
1615345518.2624311,426,47394.0,5240,1218.0,60,2.0
1615345518.285114,2238,22924.0,5274,5555.0,60,2.0
1615345518.332214,705,45074.0,5306,5559.0,60,2.0
1615345518.427989,1400,4969.0,5259,3071.0,60,2.0
1615345518.553501,426,47394.0,5118,776.0,60,2.0
1615345518.698164,4858,55937.0,5196,445.0,66,2.0
1615345518.867564,637,47282.0,5293,2348.0,60,2.0
1615345518.8916929,614,51573.0,5281,3396.0,60,2.0
1615345518.9481661,641,47262.0,5141,1632.0,60,2.0
1615345519.026992,614,51573.0,5267,9001.0,60,2.0
1615345519.027264,614,51573.0,5341,9001.0,60,2.0
1615345519.027898,614,51573.0,5299,9001.0,60,2.0
1615345519.094564,274,58619.0,5191,1433.0,66,2.0
1615345519.109254,614,51573.0,5277,45803.0,60,2.0
1615345519.168415,3448,7893.0,5229,2083.0,60,2.0
1615345519.238826,1117,52358.0,5242,8080.0,74,2.0
1615345519.362011,614,51573.0,5307,55747.0,60,2.0
1615345519.50767,614,51573.0,5264,3396.0,60,2.0
1615345519.530972,705,45074.0,5215,5559.0,60,2.0
1615345519.7324321,4340,46087.0,5290,80.0,60,2.0
1615345519.792719,632,54903.0,5165,1658.0,60,2.0
1615345519.8583472,614,51573.0,5199,45926.0,60,2.0
1615345519.88053,1369,57651.0,5192,10443.0,60,2.0
1615345519.922218,1826,50481.0,5276,33892.0,60,2.0
1615345519.9278948,705,45074.0,5303,5559.0,60,2.0
1615345520.168941,614,51573.0,5310,3396.0,60,2.0
1615345520.1701632,614,51573.0,5337,3396.0,60,2.0
1615345520.546151,274,64958.0,5346,1433.0,66,2.0
1615345520.5744061,1542,27962.0,5320,5938.0,60,2.0
1615345520.7194948,705,45074.0,5300,5559.0,60,2.0
1615345520.726785,3471,33445.0,5242,8989.0,60,2.0
1615345520.764411,1769,57819.0,5178,2086.0,60,2.0
1615345520.766645,274,65267.0,5298,1433.0,66,2.0
1615345520.8364232,614,51573.0,5336,3396.0,60,2.0
1615345520.864534,2087,61983.0,5175,5901.0,60,2.0
1615345520.866253,1377,11285.0,5212,30005.0,60,2.0
1615345520.871492,1253,32335.0,5200,264.0,60,2.0
1615345520.885454,1826,50481.0,5289,33892.0,60,2.0
1615345520.951951,3168,29586.0,5200,23.0,60,2.0
1615345521.0085359,274,61200.0,5106,1433.0,66,2.0
1615345521.0122051,614,51573.0,5195,45803.0,60,2.0
1615345521.015857,274,49247.0,5237,1433.0,66,2.0
1615345521.124378,426,47394.0,5258,2381.0,60,2.0
1615345521.15307,1490,46887.0,5125,4401.0,60,2.0
1615345521.1666028,632,54903.0,5235,1685.0,60,2.0
1615345521.224589,2410,38563.0,5153,445.0,66,2.0
1615345521.241872,1409,40927.0,5100,16000.0,60,2.0
1615345521.330674,3330,21065.0,5238,8902.0,60,2.0
1615345521.3723211,614,51573.0,5221,55654.0,60,2.0
1615345521.466326,614,51573.0,5274,3396.0,60,2.0
1615345521.4911869,4123,48801.0,5289,17990.0,60,2.0
1615345521.495232,3453,46213.0,5237,591.0,60,2.0
1615345521.548849,594,37928.0,5224,8118.0,60,2.0
1615345521.697537,4858,55937.0,5196,445.0,66,2.0
1615345521.7472448,426,47394.0,5127,2562.0,60,2.0
1615345521.7532651,3987,19686.0,5109,28435.0,74,2.0
1615345521.835918,274,50534.0,5274,1433.0,66,2.0
1615345521.841223,1826,50481.0,5261,33892.0,60,2.0
1615345521.8506188,426,47394.0,5157,1714.0,60,2.0
1615345521.9170198,2939,64833.0,5109,28435.0,66,2.0
1615345521.969642,4684,47602.0,5282,5555.0,60,2.0
1615345522.064961,2780,64796.0,5147,445.0,66,2.0
1615345522.081439,426,47394.0,5114,65.0,60,2.0
1615345522.086971,426,47394.0,5133,1223.0,60,2.0
1615345522.300641,705,45074.0,5330,5559.0,60,2.0
1615345522.300686,705,45074.0,5233,5559.0,60,2.0
1615345522.4635901,426,47394.0,5294,1085.0,60,2.0
1615345522.5280552,2368,41592.0,5339,8000.0,60,2.0
