ts,src_ip,src_port,dst_ip,dst_port,pck_len,user,num_attack,first_port_scan,ip_diff,port_diff,range_ip,range_port,ip_medium,ip_std,port_medium,port_std,pck_medium,pck_std
1615346627.1017098,1474,5143.0,5266,54973.0,452,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.101795,1474,5143.0,5267,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.101882,1474,5143.0,5268,54973.0,456,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.101916,1474,5143.0,5269,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.102119,1474,5143.0,5271,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.10214,1474,5143.0,5270,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.1023312,1474,5143.0,5273,54973.0,459,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.10233,1474,5143.0,5272,54973.0,457,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.102546,1474,5143.0,5274,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.102644,1474,5143.0,5276,54973.0,456,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.102649,1474,5143.0,5275,54973.0,457,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.10286,1474,5143.0,5277,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.102942,1474,5143.0,5278,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.103059,1474,5143.0,5279,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.103144,1474,5143.0,5280,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.1032732,1474,5143.0,5281,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.103306,1474,5143.0,5282,54973.0,457,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.1034741,1474,5143.0,5283,54973.0,457,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.1035938,1474,5143.0,5284,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.1036599,1474,5143.0,5286,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
